ch_name,h_name,ch_i,h_i,l_i,i,word,fn,x
ppl,PPL,3,0,0,3.0.0,# ppl,,
ppl,NA,3,0,1,3.0.1,"just like you, others are trying to figure out what goes on in their own garden.\*	ppl are different versions of each others' pri ([see also c9.70][norms style]).",def,
ppl,NA,3,0,2,3.0.2,"amid the goals and forces of this chapter, none of what is described includes using words. reader, you will begin to understand their nature in the next chapter, bet, but as it pertains words that ppl use with each other, not until the last chapter, comm.",def,is
ppl,places,3,1,0,3.1.0,places,,
ppl,places,3,1,3,3.1.3,consider ppl in terms of the four places of your life:,plan,
ppl,places,3,1,3.1,3.1.3.1,on your garden dealing with your self.,plan,alt
ppl,places,3,1,3.2,3.1.3.2,on someone else's garden.,plan,alt
ppl,places,3,1,3.3,3.1.3.3,at work making something for others for money.,plan,alt
ppl,places,3,1,3.4,3.1.3.4,getting something someone else made (market).,plan,alt
ppl,places,3,1,4,3.1.4,sometimes you are at your garden's edge looking elsewhere.,def,
ppl,places,3,1,4,3.1.4,"for example, when you read an email or social media feed, as if looking across your neighbor's plot,",example,
ppl,places,3,1,4,3.1.4,"studying how to bring your lettuce back to life, or celebrating your friend's successful pumpkin patch.",def,
ppl,gate,3,2,0,3.2.0,gate,,
ppl,gate,3,2,5,3.2.5,"despite garden-based pris, most of your time is spent outside your garden, and mostly for work (about 80,000 hours in your life).",def,
ppl,gate,3,2,6,3.2.6,"acknowledge the ppl in your pris, yet don't let them distract.",plan,
ppl,gate,3,2,7,3.2.7,notice how long you leave your garden and to where.,plan,
ppl,gate,3,2,8,3.2.8,spend only as much time needed away for your pris.,plan,
ppl,gate,3,2,9,3.2.9,"for example, most time on others' gardens, and any more than the minimum at work or market is cake. when in doubt, go home and stare at your plants. at least that cake is free.",example,
ppl,work,3,3,0,3.3.0,work,,
ppl,work,3,3,10,3.3.10,where do you get seeds for food from and how did you know to plant them?,plan,
ppl,work,3,3,11,3.3.11,"from other ppl, right? no silly, you don't know how to garden a sandwich!",plan,example
ppl,work,3,3,12,3.3.12,"lucky for you, many of the most important crops you want are already grown, prepared and handed to you--in exchange for money.",def,
ppl,work,3,3,13,3.3.13,"money is traded for maintenance of, or insurance for self and cake, like apples, miracle medical procedures, and a toilet to take your poop somewhere else.",def,is
ppl,work,3,3,14,3.3.14,"work is performing a specific task on a collective garden, like an institution's in exchange for money. it is a pre-arranged visit to another garden for a specified time.",def,
ppl,work,3,3,15,3.3.15,"whether or not you like it, or it directly fulfills garden needs, work is made to serve norms, not you.",def,is
ppl,work,3,3,16,3.3.16,"norms are all actions assumed of (or about) the ""average"" person. they are the web of forces of all actions of all ppl, including work, religion, popular attitudes, and doubts.",def,
ppl,analysis,3,4,0,3.4.0,analysis,,
ppl,analysis,3,4,17,3.4.17,"if you have a job that pays you to think, your mind is hired to make norms products real.",def,is
ppl,analysis,3,4,18,3.4.18,"instead of your reality, your work is to translate norms's reality, chud-adjusted.",def,is
ppl,analysis,3,4,19,3.4.19,norms assume you will work for money for goods.,def,
ppl,analysis,3,4,20,3.4.20,"language, agreed usage of words, is made from norms.",def,is
ppl,analysis,3,4,21,3.4.21,norms push against individuality (except where it provides a lucrative job opportunity).,def,
ppl,analysis,3,4,22,3.4.22,relationships (rltp) are goals about ppl (ppl).,def,
ppl,analysis,3,4,23,3.4.23,good ones are aligned with your goals.,def,
ppl,analysis,3,4,24,3.4.24,bad ones cost more.,def,
ppl,analysis,3,4,25,3.4.25,"a rltp is a reciprocal pair of bets, yours of them, and vice versa. one is the better and the other is the bet and bet on.",def,
ppl,analysis,3,4,26,3.4.26,"rltps, especially family members, coordinate many goals for savings.",def,
ppl,others,3,5,0,3.5.0,others,,
ppl,others,3,5,27,3.5.27,"maybe they are your friend, and need help with some unruly vines, or maybe you just like their apples.",def,
ppl,others,3,5,28,3.5.28,"sometimes, ppl will contribute to your goals, as if bringing water to crops you didn't recognize need them. 4. sometimes ppl will try to water your crops when they don't need watering.",plan,example
ppl,others,3,5,29,3.5.29,sometimes you'll return with higher morale or a bag of apples.,plan,example
ppl,others,3,5,30,3.5.30,"sometimes you'll need to water some crops that need to be watered, because the sight of their neglect cannot be ignored.",plan,example
ppl,others,3,5,31,3.5.31,"the challenges that overwhelm you are the same for others, just not always the same amount nor at the same time.",def,
